ID,Age,flights,duration,max,Treatment
B0003,2,0,0,10,control
B0003,3,0,0,10,control
B0003,4,0,0,10,control
B0003,5,0,0,10,control
B0003,6,1,3.45,10,control
B0003,7,0,0,10,control
B0003,8,0,0,10,control
B0003,9,0,0,10,control
B0003,10,0,0,10,control
B0004,2,0,0,21,pesticide
B0004,3,0,0,21,pesticide
B0004,4,0,0,21,pesticide
B0004,5,0,0,21,pesticide
B0004,6,1,4.45,21,pesticide
B0004,7,0,0,21,pesticide
B0004,8,1,3.033333333,21,pesticide
B0004,9,0,0,21,pesticide
B0004,10,0,0,21,pesticide
B0004,11,0,0,21,pesticide
B0004,12,0,0,21,pesticide
B0004,13,0,0,21,pesticide
B0004,14,0,0,21,pesticide
B0004,15,0,0,21,pesticide
B0004,16,3,4.9,21,pesticide
B0004,17,0,0,21,pesticide
B0004,18,1,2.1,21,pesticide
B0004,19,3,0.833333333,21,pesticide
B0004,20,44,182.0166667,21,pesticide
B0004,21,6,21.2,21,pesticide
B0006,2,0,0,22,control
B0006,3,0,0,22,control
B0006,4,0,0,22,control
B0006,5,0,0,22,control
B0006,6,1,5.616666667,22,control
B0006,7,0,0,22,control
B0006,8,0,0,22,control
B0006,9,0,0,22,control
B0006,10,0,0,22,control
B0006,11,0,0,22,control
B0006,12,0,0,22,control
B0006,13,0,0,22,control
B0006,14,2,3.866666667,22,control
B0006,15,4,4.866666667,22,control
B0006,16,9,79.66666667,22,control
B0006,17,5,147.9833333,22,control
B0006,18,4,187.7,22,control
B0006,19,6,339.25,22,control
B0006,20,3,179.9833333,22,control
B0006,21,4,271.1166667,22,control
B0006,22,1,80.25,22,control
B0007,2,0,0,29,pesticide
B0007,3,0,0,29,pesticide
B0007,4,0,0,29,pesticide
B0007,5,0,0,29,pesticide
B0007,6,0,0,29,pesticide
B0007,7,0,0,29,pesticide
B0007,8,0,0,29,pesticide
B0007,9,0,0,29,pesticide
B0007,10,0,0,29,pesticide
B0007,11,0,0,29,pesticide
B0007,12,0,0,29,pesticide
B0007,13,1,7.633333333,29,pesticide
B0007,14,1,3.316666667,29,pesticide
B0007,15,8,7.716666667,29,pesticide
B0007,16,6,343.4166667,29,pesticide
B0007,17,5,422.2333333,29,pesticide
B0007,18,5,424.4333333,29,pesticide
B0007,19,4,363.45,29,pesticide
B0007,20,3,323.3833333,29,pesticide
B0007,21,5,404.4833333,29,pesticide
B0007,22,2,289.05,29,pesticide
B0007,23,5,432.8833333,29,pesticide
B0007,24,5,126.7666667,29,pesticide
B0007,25,13,447.4,29,pesticide
B0007,26,3,30.98333333,29,pesticide
B0007,27,4,416.6666667,29,pesticide
B0007,28,3,134.9833333,29,pesticide
B0007,29,6,447.5,29,pesticide
B0009,2,0,0,10,pesticide
B0009,3,0,0,10,pesticide
B0009,4,0,0,10,pesticide
B0009,5,0,0,10,pesticide
B0009,6,0,0,10,pesticide
B0009,7,0,0,10,pesticide
B0009,8,1,4.266666667,10,pesticide
B0009,9,3,12.88333333,10,pesticide
B0009,10,2,14.91666667,10,pesticide
B0013,2,0,0,29,pesticide
B0013,3,0,0,29,pesticide
B0013,4,0,0,29,pesticide
B0013,5,0,0,29,pesticide
B0013,6,1,5.833333333,29,pesticide
B0013,7,0,0,29,pesticide
B0013,8,0,0,29,pesticide
B0013,9,0,0,29,pesticide
B0013,10,0,0,29,pesticide
B0013,11,0,0,29,pesticide
B0013,12,0,0,29,pesticide
B0013,13,0,0,29,pesticide
B0013,14,0,0,29,pesticide
B0013,15,1,3.066666667,29,pesticide
B0013,16,6,71.76666667,29,pesticide
B0013,17,2,204.4166667,29,pesticide
B0013,18,5,406.7833333,29,pesticide
B0013,19,4,426.4166667,29,pesticide
B0013,20,1,151.8,29,pesticide
B0013,21,2,156.5333333,29,pesticide
B0013,22,5,470.35,29,pesticide
B0013,23,3,407.3833333,29,pesticide
B0013,24,3,181.85,29,pesticide
B0013,25,4,205.4333333,29,pesticide
B0013,26,0,0,29,pesticide
B0013,27,3,265.6166667,29,pesticide
B0013,28,4,509.8166667,29,pesticide
B0013,29,0,0,29,pesticide
B0016,2,0,0,8,pesticide
B0016,3,0,0,8,pesticide
B0016,4,1,16.68333333,8,pesticide
B0016,5,0,0,8,pesticide
B0016,6,0,0,8,pesticide
B0016,7,0,0,8,pesticide
B0016,8,0,0,8,pesticide
B0019,2,0,0,25,pesticide
B0019,3,0,0,25,pesticide
B0019,4,0,0,25,pesticide
B0019,5,0,0,25,pesticide
B0019,6,0,0,25,pesticide
B0019,7,0,0,25,pesticide
B0019,8,0,0,25,pesticide
B0019,9,0,0,25,pesticide
B0019,10,1,2.6,25,pesticide
B0019,11,0,0,25,pesticide
B0019,12,0,0,25,pesticide
B0019,13,0,0,25,pesticide
B0019,14,1,1.733333333,25,pesticide
B0019,15,6,157.6,25,pesticide
B0019,16,4,395.7166667,25,pesticide
B0019,17,3,340.15,25,pesticide
B0019,18,4,416.7,25,pesticide
B0019,19,5,338.8333333,25,pesticide
B0019,20,3,411.3833333,25,pesticide
B0019,21,3,300.5166667,25,pesticide
B0019,22,2,238.6166667,25,pesticide
B0019,23,2,351.1166667,25,pesticide
B0019,24,1,62,25,pesticide
B0019,25,4,452.3833333,25,pesticide
B0021,2,0,0,17,pesticide
B0021,3,0,0,17,pesticide
B0021,4,1,6.866666667,17,pesticide
B0021,5,0,0,17,pesticide
B0021,6,1,4.616666667,17,pesticide
B0021,7,0,0,17,pesticide
B0021,8,1,2.083333333,17,pesticide
B0021,9,0,0,17,pesticide
B0021,10,1,3.133333333,17,pesticide
B0021,11,0,0,17,pesticide
