ID;Age;flights;duration;max;Treatment
ccd10001;0;0;0;5;control
ccd10001;1;0;0;5;control
ccd10001;2;0;0;5;control
ccd10001;3;0;0;5;control
ccd10001;4;0;0;5;control
ccd10001;5;1;7;5;control
ccd10002;0;0;0;4;control
ccd10002;1;0;0;4;control
ccd10002;2;0;0;4;control
ccd10002;3;1;6;4;control
ccd10002;4;1;11;4;control
ccd10004;0;0;0;41;control
ccd10004;1;0;0;41;control
ccd10004;2;0;0;41;control
ccd10004;3;0;0;41;control
ccd10004;4;1;9;41;control
ccd10004;5;7;20;41;control
ccd10004;6;4;6;41;control
ccd10004;7;2;8;41;control
ccd10004;8;3;7;41;control
ccd10004;9;6;8;41;control
ccd10004;10;3;7;41;control
ccd10004;11;4;9;41;control
ccd10004;12;6;8;41;control
ccd10004;13;3;3;41;control
ccd10004;14;3;4;41;control
ccd10004;15;5;4;41;control
ccd10004;16;3;12;41;control
ccd10004;17;5;8;41;control
ccd10004;18;9;23;41;control
ccd10004;19;9;22;41;control
ccd10004;20;0;0;41;control
ccd10004;21;2;2;41;control
ccd10004;22;6;15;41;control
ccd10004;23;6;68;41;control
ccd10004;24;6;326;41;control
ccd10004;25;3;188;41;control
ccd10004;26;2;94;41;control
ccd10004;27;1;2;41;control
ccd10004;28;3;5;41;control
ccd10004;29;3;3;41;control
ccd10004;30;7;179;41;control
ccd10004;31;7;319;41;control
ccd10004;32;4;247;41;control
ccd10004;33;6;339;41;control
ccd10004;34;6;339;41;control
ccd10004;35;4;394;41;control
ccd10004;36;5;370;41;control
ccd10004;37;5;381;41;control
ccd10004;38;5;421;41;control
ccd10004;39;4;420;41;control
ccd10004;40;2;43;41;control
ccd10004;41;1;0;41;control
ccd10005;0;0;0;6;control
ccd10005;1;0;0;6;control
ccd10005;2;0;0;6;control
ccd10005;3;0;0;6;control
ccd10005;4;0;0;6;control
ccd10005;5;3;11;6;control
ccd10005;6;2;5;6;control
ccd10006;0;0;0;12;control
