ID,Age,flights,duration,Treatment
B0301 1 2,1,0,0,control
B0301 1 2,2,0,0,control
B0301 1 2,3,0,0,control
B0301 1 2,4,1,71.6,control
B0304 1 1,1,0,0,control
B0304 1 1,2,0,0,control
B0304 1 1,3,0,0,control
B0304 1 1,4,0,0,control
B0304 1 1,5,0,0,control
B0304 1 1,6,1,26.93333333,control
B0304 1 1,7,0,0,control
B0304 1 1,8,0,0,control
B0304 1 1,9,0,0,control
B0304 1 1,10,1,9.716666666,control
B0304 1 1,11,1,4.416666666,control
B0304 1 1,12,0,0,control
B0304 1 1,13,0,0,control
B0304 1 1,14,0,0,control
B0304 1 1,15,1,3.483333333,control
B0304 1 1,16,1,48.7,control
B0304 1 1,17,3,150.0833333,control
B0304 1 1,18,2,111.15,control
B0304 1 1,19,0,0.966666667,control
B0304 1 1,20,2,12.23333333,control
B0305 1 2,1,0,0,control
B0305 1 2,2,0,0,control
B0305 1 2,3,0,0,control
B0305 1 2,4,0,0,control
B0305 1 2,5,0,0,control
B0305 1 2,6,0,0,control
B0305 1 2,7,0,0,control
B0305 1 2,8,0,0,control
B0305 1 2,9,0,0,control
B0305 1 2,10,0,0,control
B0305 1 2,11,0,0,control
B0305 1 2,12,0,0,control
B0305 1 2,13,0,0,control
B0305 1 2,14,0,0,control
B0305 1 2,15,0,0,control
B0305 1 2,16,0,0,control
B0305 1 2,17,0,0,control
B0305 1 2,18,0,0,control
B0305 1 2,19,0,0,control
B0305 1 2,20,0,0,control
B0305 1 2,21,0,0,control
B0305 1 2,22,0,0,control
B0305 1 2,23,0,0,control
B0305 1 2,24,0,0,control
B0305 1 2,25,0,0,control
B0305 1 2,26,8,43.41666667,control
B0307 1 2,1,0,0,control
B0307 1 2,2,0,0,control
B0307 1 2,3,0,0,control
B0307 1 2,4,0,0,control
B0307 1 2,5,0,0,control
B0307 1 2,6,1,11.5,control
B0307 1 2,7,0,0,control
B0307 1 2,8,1,2.316666667,control
B0307 1 2,9,0,0,control
B0307 1 2,10,0,0,control
B0307 1 2,11,2,3.4,control
B0307 1 2,12,0,0,control
B0307 1 2,13,0,0,control
B0307 1 2,14,0,0.966666667,control
B0307 1 2,15,0,0,control
B0307 1 2,16,3,5.55,control
B0307 1 2,17,0,0,control
B0307 1 2,18,2,5.016666666,control
B0307 1 2,19,2,131.85,control
B0307 1 2,20,1,58.73333333,control
B0308 1 2,1,0,0,control
B0308 1 2,2,0,0,control
B0308 1 2,3,0,0,control
B0308 1 2,4,1,2.183333333,control
B0308 1 2,5,2,9.516666666,control
B0308 1 2,6,2,38.78333333,control
B0308 1 2,7,2,58.71666666,control
B0308 1 2,8,1,92.03333333,control
B0308 1 2,9,1,45.75,control
B0309 1 1,1,0,0,control
B0309 1 1,2,0,0,control
B0309 1 1,3,0,0,control
B0309 1 1,4,0,0,control
B0309 1 1,5,0,0,control
B0309 1 1,6,1,8.433333333,control
B0309 1 1,7,1,3.783333333,control
B0309 1 1,8,2,194.9333333,control
B0309 1 1,9,2,192.2166666,control
B0309 1 1,10,3,312.8,control
B0309 1 1,11,1,179.0833333,control
B0309 1 1,12,0,0,control
B0309 1 1,13,0,0,control
B0309 1 1,14,1,15.93333333,control
B0309 1 1,15,1,203.4666667,control
B0309 1 1,16,2,434.9,control
B0309 1 1,17,3,529.7666667,control
B0309 1 1,18,1,178.5333333,control
B0309 1 1,19,1,73.36666667,control
B0309 1 1,20,1,127.4666667,control
