"","ID","Age","flights","duration","max","Treatment","colonie","Date"
"K 4150.701","K 4150",6,1,3.61666666666667,7,"pesticide","K",2016-04-13
"K 4150.702","K 4150",7,4,91.35,7,"pesticide","K",2016-04-13
"K 4152.736","K 4152",6,0,0,13,"pesticide","K",2016-04-19
"K 4152.737","K 4152",7,0,0,13,"pesticide","K",2016-04-19
"K 4152.738","K 4152",8,3,4.8,13,"pesticide","K",2016-04-19
"K 4152.739","K 4152",9,1,2.55,13,"pesticide","K",2016-04-19
"K 4152.740","K 4152",10,4,88.8333333333333,13,"pesticide","K",2016-04-19
"K 4152.741","K 4152",11,3,90.2833333333334,13,"pesticide","K",2016-04-19
"K 4152.742","K 4152",12,0,0,13,"pesticide","K",2016-04-19
"K 4152.743","K 4152",13,2,60.5,13,"pesticide","K",2016-04-19
"K 4153.771","K 4153",6,1,12.65,12,"pesticide","K",2016-04-18
"K 4153.772","K 4153",7,2,7.15,12,"pesticide","K",2016-04-18
"K 4153.773","K 4153",8,1,4.48333333333333,12,"pesticide","K",2016-04-18
"K 4153.774","K 4153",9,1,4.46666666666667,12,"pesticide","K",2016-04-18
"K 4153.775","K 4153",10,1,4.55,12,"pesticide","K",2016-04-18
"K 4153.776","K 4153",11,1,5.58333333333333,12,"pesticide","K",2016-04-18
"K 4153.777","K 4153",12,2,11.5833333333333,12,"pesticide","K",2016-04-18
"K 4155.806","K 4155",6,1,4.1,11,"pesticide","K",2016-04-17
"K 4155.807","K 4155",7,0,0,11,"pesticide","K",2016-04-17
"K 4155.808","K 4155",8,4,9.43333333333332,11,"pesticide","K",2016-04-17
"K 4155.809","K 4155",9,4,10.0666666666667,11,"pesticide","K",2016-04-17
"K 4155.810","K 4155",10,3,106.25,11,"pesticide","K",2016-04-17
"K 4155.811","K 4155",11,3,39.25,11,"pesticide","K",2016-04-17
"K 4159.841","K 4159",6,1,3.53333333333333,8,"pesticide","K",2016-04-14
"K 4159.842","K 4159",7,4,71.9333333333334,8,"pesticide","K",2016-04-14
"K 4159.843","K 4159",8,2,72.5333333333334,8,"pesticide","K",2016-04-14
"K 4160.876","K 4160",6,0,0,16,"pesticide","K",2016-04-22
"K 4160.877","K 4160",7,1,28.9166666666667,16,"pesticide","K",2016-04-22
"K 4160.878","K 4160",8,2,7.05,16,"pesticide","K",2016-04-22
"K 4160.879","K 4160",9,2,3.41666666666667,16,"pesticide","K",2016-04-22
"K 4160.880","K 4160",10,2,4.03333333333333,16,"pesticide","K",2016-04-22
"K 4160.881","K 4160",11,2,9.46666666666667,16,"pesticide","K",2016-04-22
"K 4160.882","K 4160",12,2,9.6,16,"pesticide","K",2016-04-22
"K 4160.883","K 4160",13,2,155.65,16,"pesticide","K",2016-04-22
"K 4160.884","K 4160",14,3,111.8,16,"pesticide","K",2016-04-22
"K 4160.885","K 4160",15,1,31.2,16,"pesticide","K",2016-04-22
"K 4160.886","K 4160",16,2,70.3,16,"pesticide","K",2016-04-22
"K 4161.911","K 4161",6,1,3.15,8,"pesticide","K",2016-04-14
"K 4161.912","K 4161",7,3,5.7,8,"pesticide","K",2016-04-14
"K 4161.913","K 4161",8,4,76.3,8,"pesticide","K",2016-04-14
"K 4165.946","K 4165",6,2,6.23333333333333,14,"pesticide","K",2016-04-20
"K 4165.947","K 4165",7,3,96.9,14,"pesticide","K",2016-04-20
"K 4165.948","K 4165",8,3,262.133333333333,14,"pesticide","K",2016-04-20
"K 4165.949","K 4165",9,3,196.2,14,"pesticide","K",2016-04-20
"K 4165.950","K 4165",10,5,558.533333333333,14,"pesticide","K",2016-04-20
"K 4165.951","K 4165",11,3,368.25,14,"pesticide","K",2016-04-20
"K 4165.952","K 4165",12,2,326.25,14,"pesticide","K",2016-04-20
"K 4165.953","K 4165",13,1,162.816666666667,14,"pesticide","K",2016-04-20
"K 4165.954","K 4165",14,2,267.883333333333,14,"pesticide","K",2016-04-20
"K 4169.981","K 4169",6,1,3.25,16,"pesticide","K",2016-04-22
"K 4169.982","K 4169",7,1,1.46666666666667,16,"pesticide","K",2016-04-22
"K 4169.983","K 4169",8,3,5.65,16,"pesticide","K",2016-04-22
"K 4169.984","K 4169",9,3,155.516666666667,16,"pesticide","K",2016-04-22
"K 4169.985","K 4169",10,4,137.55,16,"pesticide","K",2016-04-22
"K 4169.986","K 4169",11,2,45.4166666666666,16,"pesticide","K",2016-04-22
"K 4169.987","K 4169",12,1,47.8333333333333,16,"pesticide","K",2016-04-22
"K 4169.988","K 4169",13,6,336.45,16,"pesticide","K",2016-04-22
"K 4169.989","K 4169",14,5,376.366666666667,16,"pesticide","K",2016-04-22
"K 4169.990","K 4169",15,3,232.7,16,"pesticide","K",2016-04-22
"K 4169.991","K 4169",16,1,185.15,16,"pesticide","K",2016-04-22
"K 4170.1016","K 4170",6,1,11.2,15,"pesticide","K",2016-04-21
"K 4170.1017","K 4170",7,1,1.93333333333333,15,"pesticide","K",2016-04-21
"K 4170.1018","K 4170",8,2,4.91666666666667,15,"pesticide","K",2016-04-21
"K 4170.1019","K 4170",9,1,2.03333333333333,15,"pesticide","K",2016-04-21
"K 4170.1020","K 4170",10,1,3.03333333333333,15,"pesticide","K",2016-04-21
"K 4170.1021","K 4170",11,0,0,15,"pesticide","K",2016-04-21
"K 4170.1022","K 4170",12,0,0,15,"pesticide","K",2016-04-21
"K 4170.1023","K 4170",13,2,2.43333333333334,15,"pesticide","K",2016-04-21
"K 4170.1024","K 4170",14,2,141.533333333334,15,"pesticide","K",2016-04-21
"K 4170.1025","K 4170",15,1,4.85,15,"pesticide","K",2016-04-21
"K 4173.1051","K 4173",6,2,4.01666666666666,11,"pesticide","K",2016-04-17
"K 4173.1052","K 4173",7,1,3.1,11,"pesticide","K",2016-04-17
"K 4173.1053","K 4173",8,2,5.53333333333333,11,"pesticide","K",2016-04-17
"K 4173.1054","K 4173",9,2,3.48333333333334,11,"pesticide","K",2016-04-17
"K 4173.1055","K 4173",10,2,4.43333333333333,11,"pesticide","K",2016-04-17
"K 4173.1056","K 4173",11,2,51.4833333333334,11,"pesticide","K",2016-04-17
"K 4176.1086","K 4176",6,1,16.8333333333333,12,"pesticide","K",2016-04-18
"K 4176.1087","K 4176",7,1,8.26666666666667,12,"pesticide","K",2016-04-18
"K 4176.1088","K 4176",8,2,5.95,12,"pesticide","K",2016-04-18
"K 4176.1089","K 4176",9,4,17.2,12,"pesticide","K",2016-04-18
"K 4176.1090","K 4176",10,11,40.6666666666667,12,"pesticide","K",2016-04-18
"K 4176.1091","K 4176",11,5,16.5833333333333,12,"pesticide","K",2016-04-18
"K 4176.1092","K 4176",12,1,47.8333333333333,12,"pesticide","K",2016-04-18
"K 4179.1121","K 4179",6,1,3.33333333333333,17,"pesticide","K",2016-04-23
"K 4179.1122","K 4179",7,0,0,17,"pesticide","K",2016-04-23
"K 4179.1123","K 4179",8,1,1.73333333333333,17,"pesticide","K",2016-04-23
"K 4179.1124","K 4179",9,0,0,17,"pesticide","K",2016-04-23
"K 4179.1125","K 4179",10,2,4.85,17,"pesticide","K",2016-04-23
"K 4179.1126","K 4179",11,1,1.26666666666667,17,"pesticide","K",2016-04-23
"K 4179.1127","K 4179",12,1,1.6,17,"pesticide","K",2016-04-23
"K 4179.1128","K 4179",13,3,16.2833333333333,17,"pesticide","K",2016-04-23
"K 4179.1129","K 4179",14,5,214.95,17,"pesticide","K",2016-04-23
"K 4179.1130","K 4179",15,10,222.716666666667,17,"pesticide","K",2016-04-23
"K 4179.1131","K 4179",16,5,239.233333333333,17,"pesticide","K",2016-04-23
"K 4179.1132","K 4179",17,6,207.55,17,"pesticide","K",2016-04-23
"K 4180.1156","K 4180",6,2,5.35,8,"pesticide","K",2016-04-14
"K 4180.1157","K 4180",7,1,1.81666666666667,8,"pesticide","K",2016-04-14
"K 4180.1158","K 4180",8,2,17.5,8,"pesticide","K",2016-04-14
"K 4189.1191","K 4189",6,1,4.25,14,"pesticide","K",2016-04-20
"K 4189.1192","K 4189",7,3,19.1166666666667,14,"pesticide","K",2016-04-20
"K 4189.1193","K 4189",8,4,49.6166666666667,14,"pesticide","K",2016-04-20
"K 4189.1194","K 4189",9,4,75.7333333333333,14,"pesticide","K",2016-04-20
"K 4189.1195","K 4189",10,6,202.566666666667,14,"pesticide","K",2016-04-20
"K 4189.1196","K 4189",11,2,61.8666666666667,14,"pesticide","K",2016-04-20
"K 4189.1197","K 4189",12,4,150.566666666667,14,"pesticide","K",2016-04-20
"K 4189.1198","K 4189",13,4,318.766666666666,14,"pesticide","K",2016-04-20
"K 4189.1199","K 4189",14,4,203.866666666666,14,"pesticide","K",2016-04-20
"K 4191.1226","K 4191",6,4,18.2666666666666,11,"pesticide","K",2016-04-17
"K 4191.1227","K 4191",7,3,52.1666666666667,11,"pesticide","K",2016-04-17
"K 4191.1228","K 4191",8,2,83.4333333333333,11,"pesticide","K",2016-04-17
"K 4191.1229","K 4191",9,5,119.433333333333,11,"pesticide","K",2016-04-17
"K 4191.1230","K 4191",10,6,377.716666666667,11,"pesticide","K",2016-04-17
"K 4191.1231","K 4191",11,4,93.5,11,"pesticide","K",2016-04-17
"K 4192.1261","K 4192",6,1,6.06666666666667,20,"pesticide","K",2016-04-26
"K 4192.1262","K 4192",7,0,0,20,"pesticide","K",2016-04-26
"K 4192.1263","K 4192",8,1,4.01666666666667,20,"pesticide","K",2016-04-26
"K 4192.1264","K 4192",9,0,0,20,"pesticide","K",2016-04-26
"K 4192.1265","K 4192",10,1,2.28333333333333,20,"pesticide","K",2016-04-26
"K 4192.1266","K 4192",11,0,0,20,"pesticide","K",2016-04-26
"K 4192.1267","K 4192",12,0,0,20,"pesticide","K",2016-04-26
"K 4192.1268","K 4192",13,1,2.1,20,"pesticide","K",2016-04-26
"K 4192.1269","K 4192",14,1,2.38333333333333,20,"pesticide","K",2016-04-26
"K 4192.1270","K 4192",15,0,0,20,"pesticide","K",2016-04-26
"K 4192.1271","K 4192",16,0,0,20,"pesticide","K",2016-04-26
"K 4192.1272","K 4192",17,0,0,20,"pesticide","K",2016-04-26
"K 4192.1273","K 4192",18,0,0,20,"pesticide","K",2016-04-26
"K 4192.1274","K 4192",19,1,4.01666666666667,20,"pesticide","K",2016-04-26
"K 4192.1275","K 4192",20,2,3.86666666666667,20,"pesticide","K",2016-04-26
"K 4193.1296","K 4193",6,0,0,13,"pesticide","K",2016-04-19
"K 4193.1297","K 4193",7,1,5.26666666666667,13,"pesticide","K",2016-04-19
"K 4193.1298","K 4193",8,0,0,13,"pesticide","K",2016-04-19
"K 4193.1299","K 4193",9,2,12.7166666666667,13,"pesticide","K",2016-04-19
"K 4193.1300","K 4193",10,1,2.45,13,"pesticide","K",2016-04-19
"K 4193.1301","K 4193",11,1,4.05,13,"pesticide","K",2016-04-19
"K 4193.1302","K 4193",12,1,3.16666666666667,13,"pesticide","K",2016-04-19
"K 4193.1303","K 4193",13,3,115.366666666667,13,"pesticide","K",2016-04-19
"K 4196.1331","K 4196",6,1,5.88333333333333,14,"pesticide","K",2016-04-20
"K 4196.1332","K 4196",7,0,0,14,"pesticide","K",2016-04-20
"K 4196.1333","K 4196",8,0,0,14,"pesticide","K",2016-04-20
"K 4196.1334","K 4196",9,0,0,14,"pesticide","K",2016-04-20
"K 4196.1335","K 4196",10,0,0,14,"pesticide","K",2016-04-20
"K 4196.1336","K 4196",11,0,0,14,"pesticide","K",2016-04-20
"K 4196.1337","K 4196",12,1,9.66666666666667,14,"pesticide","K",2016-04-20
"K 4196.1338","K 4196",13,2,3.66666666666667,14,"pesticide","K",2016-04-20
"K 4196.1339","K 4196",14,2,2.68333333333333,14,"pesticide","K",2016-04-20
"K 4602","K 4602",6,1,4.05,6,"pesticide","K",2016-04-12
"K 4606.2416","K 4606",6,0,0,23,"pesticide","K",2016-04-29
"K 4606.2417","K 4606",7,0,0,23,"pesticide","K",2016-04-29
"K 4606.2418","K 4606",8,0,0,23,"pesticide","K",2016-04-29
"K 4606.2419","K 4606",9,1,3.8,23,"pesticide","K",2016-04-29
"K 4606.2420","K 4606",10,0,0,23,"pesticide","K",2016-04-29
"K 4606.2421","K 4606",11,0,0,23,"pesticide","K",2016-04-29
"K 4606.2422","K 4606",12,0,0,23,"pesticide","K",2016-04-29
"K 4606.2423","K 4606",13,1,5.93333333333333,23,"pesticide","K",2016-04-29
"K 4606.2424","K 4606",14,0,0,23,"pesticide","K",2016-04-29
